Cleaned_Tweet,Suicide
i dont long left past month worst weeks ago i went date guy went place afterwards tried force me go farther i wanted go ive afraid even hang guy since next day i fired my job i spent whole rest week alone filling job app didnt help my depression next week i started issues went get tested found i gotten gonorrhea guy tried force me i went dinner friends house my car ended getting towed i owe my mom i almost attempted suicide day last week i started work last week getting partial paycheck i started i amcurrently my bank account behind my bills i dont know much check gonna help i dont fight left me anymore,Potential Suicide post 
robsessedblog mine,Not Suicide post
tomorrow going great altho i get eaten dinosaur im blaming sophie,Not Suicide post
im sick tired people putting much energy shitting ships wont help livâ,Potential Suicide post 
loving credit crunch,Not Suicide post
realdonaldtrump already least france one doesnt dieloss everything get sick amp least â,Potential Suicide post 
cakeandcommerce one hughs eastern standard definitely one ill planning making myself future,Not Suicide post
mizphenomenal god wrote i typed,Not Suicide post
reason i havent killed myself i terrified worse stuck ghost crap like however much i want live i really i simply cannot stand pain reality i way people treat me,Potential Suicide post 
royaltybites slumdog millionaire omg new one james patterson,Not Suicide post
hey guys home watching telly,Not Suicide post
crushing boy nice smile cos asked my number hmm,Not Suicide post
jonathanrknight aww thats really sweet i hope come back uk would great see xxx,Not Suicide post
limyh ehwhere got face lawe kawans right staronline,Not Suicide post
became hot persistent days resting heavily tired flowers,Potential Suicide post 
tashuurrxrt jaemverse i dont want anymore,Potential Suicide post 
i blew hella money joannâs ð damn i hate i myself i love make shit,Potential Suicide post 
damn movie glasses i hate myself,Potential Suicide post 
preparing death letting things go i one last thing let go trying get people panic attempt save me could feels good real somewhere share whats going wonder make someone else feel less alone perhaps me,Potential Suicide post 
my year old daughter overdosed grams wellbutrin mg zoloft i trying hard make right airlifted children hospital laying hospital bed unresponsive muscles jerking scariest day my life child my entire world i i my heart soul raising i never want lose little girl i little eccentric side heart gold never met stranger ever since th grade started getting bullied teachers really anything way coping i went wake school morning found covered vomit hallucinating seizures hours probably i found feel like way i want make bad go away i i help cope i know turn,Potential Suicide post 
my band director said quotas king julian would say dont play like pansiesquot lol,Not Suicide post
iâve ugly my life ugh fair i wanna cute least one era my miserable life,Potential Suicide post 
i tired everything please let me die,Potential Suicide post 
amandafpatton haha well never permanent state me offline,Not Suicide post
danceoflife twigged mean financial presentation yes ill look home mail today,Not Suicide post
i need job revolves around promoting mental health i think itâs grimy make money ðââïâ,Potential Suicide post 
thoughts killing myself getting louder,Potential Suicide post 
i dont know im trying hard make life work live life my husband literally refuses takeâ,Potential Suicide post 
zannahthatsmekota kinabalu johor bahrurt tendrx honestly pain i dont want anymore,Potential Suicide post 
rt breathiingo i wanna die i donât deserve piece anything i donât belong anywhere iâm sick tired everything peopâ,Potential Suicide post 
anitaharrell peterparros i agree everything except benny im tired character boring needs die ijs ð,Potential Suicide post 
timelkington dont tim dreams nite u spend ãââ use discount sent last week,Not Suicide post
vrouwholle aww i proud first reply i taken updates haha,Not Suicide post
loving sun upset cant make picnic thurs,Not Suicide post
happy birthday paullander,Not Suicide post
please somebody come fucking kill me im love,Potential Suicide post 
im tired living world,Potential Suicide post 
rt shelbypie i saw quote pinterest said âwhen i stand god end my life i hope i donât single biâ,Potential Suicide post 
balsamicth i couldnt hit i hate happens i hate myself i yet i constantlyâ,Potential Suicide post 
im loving my great workspace,Not Suicide post
jeickythecat skwi thanks,Not Suicide post
ddlovato good morning,Not Suicide post
i safe myself i suicidal i made attempts year yet nobody seems get i honestly cant say i going kill myself today i keep breaking crying i dont know i hate myself,Potential Suicide post 
iâm much happier amp better without weak fake lames ð leave me alone i donât need anyway #bigslime ð,Potential Suicide post 
jennw thank,Not Suicide post
adoredesalon need put site know cause us bloggers love free wifi awesome,Not Suicide post
nanaraine i imagine would exactly close,Not Suicide post
bobbyllew could embarrassing least remembered time today time tomorrow small mercies,Not Suicide post
rt lsubonnette feeling going great day got meet john stockton game,Not Suicide post
shesouldeep yup me,Not Suicide post
kissability im actually listening chopin dark right,Not Suicide post
whenever i dreams my mom lately itâs sheâs still alive never went away ð againâ,Potential Suicide post 
rt aprilmaejackson rip xxxtentacion i didnât know much helped hard times didnât deserve die aâ,Potential Suicide post 
i hate feelings point i think i clinging onto life waiting right set circumstances let go my feelings keep holding me back i hate i hate feel i hate every one theres something comforting idea nonexistence something comforting idea nothing i long,Potential Suicide post 
sorry people arent toxic wanted friends,Potential Suicide post 
sassyinvegas np lol hhmm danny jordan join danny maybe jordan me hopes,Not Suicide post
codeine ativan sleep meds alcohol tell me i shouldnt i hopeless i ready give,Potential Suicide post 
i going kill myself weekend i dont see reason stay alive nothing changed enough make me want stay i raped kid i people sex object good bye everyone,Potential Suicide post 
got crush,Not Suicide post
rt rcromwell people dont want dead even claim really alive,Potential Suicide post 
i want businessman futer,Not Suicide post
mafumafu oh sh oh g od scrambles get everything didnt packâ,Potential Suicide post 
pjgariel yeah still chilly sposed return normal temps week gonna spend time girls week,Not Suicide post
tuesday great metropolis hanover could better,Not Suicide post
long live life,Not Suicide post
rt helmandc i know think youre sad cowboys dont play today day team cant lose occasion worth celebrate,Not Suicide post
annaarco i gained weight im one people everybody hates loose weight cakeandcookies diet,Not Suicide post
earsn my baby tired,Not Suicide post
aussieali heidiheartshugs toothpaste use whitening stuff bleach burn layer skin,Not Suicide post
aylush firstly thank secondly kite runner historically,Not Suicide post
sucks man i really dont know i anymore rash decisions rash decision control oveâ,Potential Suicide post 
i mess i ran meds i havent strength energy go refill i went class today ended sitting sidewalk ugly crying making people think i fucking headcase i sleep i never feel rested i alone new town i friends i want someone sit me talk i hanging i brought my cats strange place i cant leave think theyve abandoned i took three hour nap i got headache still tired i clean laundry my room clusterfuck i havent combed my hair days eaten instead things need donei amlying trying avoid intrusive self harm thoughtsi amlazy awful i cant get myself stop,Potential Suicide post 
coming home stoked bears afternoon mikeyj alton towers tomorrow,Not Suicide post
i streamed two episodes riverdale i hate myself damn much i data ððð,Potential Suicide post 
tweetie well thats impressive spot spot,Not Suicide post
iâm tired living,Potential Suicide post 
i gotta go bank tomorrow see fuck going i problems weeks ago biâ,Potential Suicide post 
therealnph yeah cool bookshelves ive got one various books pinned wall,Not Suicide post
#cflsc enough shameless book plug,Not Suicide post
,Potential Suicide post 
i get attached easily one thing i hate myself i end my worst enemy damn time,Potential Suicide post 
betchbellezart jaemverse i dont want anymore,Potential Suicide post 
thanks poshtotty cant wait get home work tonight reason,Not Suicide post
bad habits difficult identify work life #careerinspiration #careergrowth #habits,Not Suicide post
nearly holidays hand camping,Not Suicide post
tired everything cant wait die,Potential Suicide post 
health anxiety prompting bad thoughts my head i struggling months health issues year old male my pessimistic nature makes me think worst my hands feet currently tingling burning i keep picturing myself wheelchair burden my family girlfriend suicide thoughts come my mind i prefer put sudden end everything instead deteriorating myself day day losing motor cognitive functions life already hard my health failing first time,Potential Suicide post 
daniel,Potential Suicide post 
brightlydusted friend i knew online last night finally added me messenger,Not Suicide post
btchtitsleven scotlanddont want anymore,Potential Suicide post 
agpublic seen link me thinks might like,Not Suicide post
young man got tired staying world called living world feeâ,Potential Suicide post 
patient i hate myself i want die,Potential Suicide post 
davethackeray lol saw hahahawas fun day exploration experimentation,Not Suicide post
michaelgrainger scyranth gigglessssssss yall awesomesauce,Not Suicide post
cut my wrist black my eyes,Potential Suicide post 
rt rikise since talking abt hey uhh remember yanderedev said intellectually disabled people deserve die played rapelâ,Potential Suicide post 
i never knew my grandfather ðð death hard my mother like me i guess maybe i thought waâ,Potential Suicide post 
rt mjs tweets real life awkward conversation starters strangers,Potential Suicide post 
eating eds waffle icecream cream n chocolate sauce omgosh amazing,Not Suicide post
wow im sooo sad i everything planned i going leave home amp go college denver yoâ,Potential Suicide post 
snigdha expecting,Not Suicide post
many times i position my fucking mother realise i stay iâll either kiâ,Potential Suicide post 
wanted kill,Not Suicide post
zephrode julouille comme je le dis si bien let me hate myself god fucking damn,Potential Suicide post 
hello people facebook like way im spamming newsfeeds twitter,Not Suicide post
bcuban popehat lawyer i diagnosed depression i my brother swore tâ,Potential Suicide post 
getting blown worst team league wearing whatâs gonna my suicide note,Potential Suicide post 
maybe i think i deserve die,Potential Suicide post 
i good pretending i ok i look like shit i dont smile i still acne i i black circles my eyes i pale skin cuz i never leave my house i go school people stare me every day point me laugh give me disgusted look tell me i ugly i look like fucking methhead i fucking depressed many reasons i think worst one i also social anxiety i dont friends i never gf i try talk someone i turn red embarrassing i already attempted suicide last month i still feel like shit,Potential Suicide post 
youre tired living st th need immediatelylike regular deodoraâ,Potential Suicide post 
i want come home right school,Not Suicide post
hellomonettebuk cdoi dont want anymore,Potential Suicide post 
rt eekrawk my sisterinlaw sana left right nice hire family members create conflict oâ,Not Suicide post
debt i kill myself thursday i going stab myself stomach take lot pills i sure yet sorry spelling grammar i sure nobody cares anyways,Potential Suicide post 
whiskymac afternoon,Not Suicide post
today i almost kill myself i almost hit car,Not Suicide post
always great hear actors ive directed trying encourage join twitter,Not Suicide post
shannonrenee,Not Suicide post
i want go park,Not Suicide post
last hour england,Not Suicide post
mcherrywv pleasant right thank u v ppl ur best,Not Suicide post
many people wanna rip really,Not Suicide post
i love sleeping im finished,Not Suicide post
spindlestudios yes exceptionally talented goose works brioso well wouldnt understand,Not Suicide post
everyone follow kade,Not Suicide post
glamlifeguru omg theres fires craziness goin cant go home cause people seriouslyâ,Potential Suicide post 
olimould lewis,Not Suicide post
honestly im tired everything myself i die already,Potential Suicide post 
luvmandy i um woooo,Not Suicide post
females fucked head blame nigga fucked upyâall gotta take accountabilityâ,Potential Suicide post 
i wanna fucking die im tired feeling pain constantly god i need left alone cry wallow my misery i feel better,Potential Suicide post 
i dont tell people i feel i pretty sure nobody cares me even writing brings me anxiety i know i interact people i wish i could cry myself sleep never wake one would every truly miss me,Potential Suicide post 
playing j gardna ft pistols tone trump amp drop die alone remix dirty street style radio,Potential Suicide post 
bed time,Not Suicide post
boring easter send me note msn i love chat people my msn ninaalbertsengmailcom,Not Suicide post
know absolutely power yet whole thing dead forgottenâ,Potential Suicide post 
rt normanilovato everyday i hate my life i really feel im destined miserable forever,Potential Suicide post 
daycare damn expensive reason im getting discount owner knows my aunt butâ,Potential Suicide post 
isnt sad seeing firetruck front building my first thought look case someone wâ,Potential Suicide post 
hahaha everyone,Not Suicide post
woke good morning everyonee,Not Suicide post
i anymore i hope i senior college i want die i fit i feel like one cares me everyday i wake i try tell myself today new day work i hate everything myself i feel alone i one i care i look i even want get mornings i want end end suffering pain i want feel nothing my anxiety depression leave me alone i know turn i keep anymore,Potential Suicide post 
gilloux i hope youre planning kennel launch party,Not Suicide post
tylersdunflowertrenchim feeling happy,Potential Suicide post 
living hardcore empath hard im tired nice putting emotional labor undeserving,Potential Suicide post 
allanahk characters yr last tweet wouldnt made cut,Not Suicide post
thelonedudeunited stateswhy everything cancerous like i cant even remember anymore corporate crap always freaking stupid i want watch youtube video i dont want forcefed stupid product every time i go online like cable tv,Potential Suicide post 
please forgive me i tried get help i dont know else say i tired burden everyone else i tired everyone writing me i cant help i i tried get help i plan weeks i longer part world,Potential Suicide post 
i feel like my time coming soon like i running time i enough i ready call quits i attempted time i afford fail i many different pills ways i end i need figure best time maybe tonight maybe tomorrow knows,Potential Suicide post 
i dont know anymore words make my life living hell matter i say sudden absence happiness i know sadness i nothing look forward i fucked my chances even something decent job girlfriend absolutely nothing motivate me point i dont even know i still alive pains me i alive,Potential Suicide post 
nice lunch time work,Not Suicide post
fran thx,Not Suicide post
i work lot russians socal office look completely miserable whenever i see themâ,Potential Suicide post 
hello world tis my first tweet,Not Suicide post
petebrown thats inandout,Not Suicide post
want kill,Not Suicide post
suicide become my new world i desperately searching answers knew besâ,Potential Suicide post 
anyone great success stories twitter i would love hear story dm me,Not Suicide post
awesome i believe youre jealous i sorta dont wanna go dancing tonight someone else drive me,Not Suicide post
sixers got best team east warriors vs sixers chip,Not Suicide post
watching old stuff youtube ahhh memories,Not Suicide post
i know i canât get things i want life get feel like least fixing my mouth sayâ,Potential Suicide post 
slydevil damn right kinda hate myself system lay poor sucks,Potential Suicide post 
curand voi fi pe ro thx blogway si cnsc,Not Suicide post
edwinksl stanford summit short video remebering magical funtasticroller coaster ride,Not Suicide post
i middle school i wanted emo dont judge,Potential Suicide post 
happy birthday,Not Suicide post
oh my god jim acosta woman fucking abuse think trump done fucking womenâ,Potential Suicide post 
i newly married my husband wonderful i love much much love i suicidal i honestly cant figure days i absolutely fine happy positive excited life hits me depression crippling anxiety suicidal thoughts i cut i cry i crumble days like i cant believe anyone cares me except my husband i feel like i dont deserve sometimes push away whats wrong me i i cant shake thought everyone would better without me especially my husband,Potential Suicide post 
khalidh nothing blogworld expo schedule stage netbook travel tho,Not Suicide post
thanks #aylesbury #audi quick service fitting shiny new number plates,Not Suicide post
i feel like one cares i want die maybe i feel less lonely,Potential Suicide post 
today one year ago i lost neighbour friend #suicide quote got me my worst tâ,Potential Suicide post 
hootsuite monetizing twitter shurely shum mishtake,Not Suicide post
i feel sorry my followers cause my posts probably take entire page,Not Suicide post
tinacook morning tina fact well something wouldnt great something big,Not Suicide post
wow back my longest ever non stop run miles i truly know sore legs feel like delighted tho,Not Suicide post
jasonstatham greetings jason far twitters great today thanks taking moment us enjoy swim hugs angel,Not Suicide post
blood runs my instrument song iâ,Potential Suicide post 
mikeyway liking,Not Suicide post
tired living life,Potential Suicide post 
want doctor,Not Suicide post
good morning mirandaanzures eight hours noodles positive thing i think right,Not Suicide post
going beautiful dayi going new granddaughter,Not Suicide post
guys mean i would never wake my friends,Potential Suicide post 
mesh mohm i wanted know youâre softest person came my miserable life â oh sweet,Potential Suicide post 
disappearing wake theres nothing afraid even night changes never change me,Potential Suicide post 
tired living niggas months go,Potential Suicide post 
vespertittiesgod kill me literally fuckin hang me stab me burn me alive,Potential Suicide post 
tommcfly hot chocolate xx,Not Suicide post
great feeling never gave well done shakey bewiser kept cool head weekend #age nothing,Not Suicide post
aprilmcvey whyy dont update somemore mom blessed day,Not Suicide post
cheated my gf drunk i wanna kill myself didnt know i shitfaced drunk i alone gf my friends hate me cheating i dont want feel pain anymore,Potential Suicide post 
someone want love passion heart soul return kind measure greatest gift,Not Suicide post
mint yo mate working like charm prepared tweet my feed interesting people follow find,Not Suicide post
rt breakfastnews âregional australia would siberia without abcâ,Not Suicide post
fuck looses damn keys i hate myself ððââï,Potential Suicide post 
i wanna die pls im tired everything,Potential Suicide post 
donalmacintyre ello fab doi im going tour tmwr cant wait xxx,Not Suicide post
dancemasstv thanks i think,Not Suicide post
alonpeer x man tips ideas,Not Suicide post
i want engineer,Not Suicide post
i want sun walking beach joey,Not Suicide post
i sexually harassed my crush i feel like place me world long time half year i touching my crush interested me without consent i work alongside part tight group friends see me every day every single time i try touch stare sometimes even take pictures recently i realized implications i done i hurting i feel like i betrayed myself something completely my values i want change i know i i amafraid i lose live i cant get myself stop touching,Potential Suicide post 
i hate i rate my group members iâll always rate higher iâd rate myself knowing damnâ,Potential Suicide post 
havenât watched wwe since extreme rules i begin last nightâs monday night raw my suicide note,Potential Suicide post 
wookim consensus,Not Suicide post
xdcd saying yourself,Not Suicide post
rt voidpaola lololololol i hate i trust people ugly pictures myself break trust like lol damn ok likâ,Potential Suicide post 
rt jmattjmattjmatt youâre trying go pregame hear âay come take pic familyâ oh well happyâ,Not Suicide post
rt postroz af call theresa may tried flatter trump congratulations gop wins midterms responded berating thâ,Not Suicide post
doesnt want give hes afraid even touch equipment much less pack,Not Suicide post
elleeseymour i didnt realise trustee loads arent find rase structure quite confusing,Not Suicide post
i feel infinite sadness my soul i feel lonely empty disappointed desperate distressedâ,Potential Suicide post 
mennard fun bet unearth sorts goodies,Not Suicide post
yerea tired,Not Suicide post
rt tomorrowithryu i hate fact true dojae surgery dojae endure pain alone without segye ðððð altouâ,Potential Suicide post 
i want one,Not Suicide post
chillin,Not Suicide post
good morning,Not Suicide post
my workplace gets much better good weather strikes,Not Suicide post
beans toast simona get better,Not Suicide post
fisbeed get back work,Not Suicide post
cant i loose enough blood my period i die ugh â idk go see doctor,Potential Suicide post 
sanguivorikayceeâ glennâi dont want anymore i wish i dead,Potential Suicide post 
i fell love courage sincerity flaming self respect i love beginning everything,Not Suicide post
rt axelsoup false information hanyu never study like person didnt wake take entâ,Potential Suicide post 
rt andreamvaldez trumpy bear isnât average memebred merch gone viral appeals everyone one itâ,Potential Suicide post 
mrsgiggles hey black hair suits u way,Not Suicide post
i hate iâm war myself daily i hate living home like bc iâm told my emotions donât matter iâ,Potential Suicide post 
rt damnitdolann i fucking hate my whole family making me feel fat im done feeling bad my body constâ,Potential Suicide post 
healthwarrior watched pot never boiled mate distraction name game,Not Suicide post
dunno my phones done me dirty made videos me my exâs cos face recognition backgroundâ,Potential Suicide post 
spent day research im feeling great achievement,Not Suicide post
raawry lol good id dress twitt bird listen twit podcast night apattys thanks,Not Suicide post
shruticute hmmm my mom well thanni thelichu vettutaanga,Not Suicide post
poor littlebrownpen fortunately good sense humor,Not Suicide post
nellclothing tdmphotography crikey check manfrotto worshipers,Not Suicide post
open birthday presents,Not Suicide post
looking american suicide statistics i shocked see white men ss lead rightâ,Potential Suicide post 
i amazing people my life encourage nothing except positive thank lord blessing me,Not Suicide post
judyk yeah going neither good hope,Not Suicide post
samanthapaige best thing pop my twitter dayðð cracks me billy tooððð,Not Suicide post
i hate myself,Potential Suicide post 
sldalby yes xx,Not Suicide post
dmitricain ok thanks i getting twitter yet,Not Suicide post
home sweet home shower time,Not Suicide post
cathaypacific wanted say big thank great airline travel writer things like mean lot,Not Suicide post
suziam bout something bit lofi dictation failing one projected keyboards,Not Suicide post
i called yesterday guidance counselors office i thought i something bad my id blocked iâ,Potential Suicide post 
hi fuck i my life lately,Potential Suicide post 
ok everyone whos racing weekend dm me picture car amp make model ill put my blog,Not Suicide post
baikini i dont want using my phone,Not Suicide post
cant wait new star trek movie comes looks good,Not Suicide post
i want sense my magic without touch,Not Suicide post
muffin guy said âplease somebody kill meâ i felt shit,Potential Suicide post 
laurene planning transit anyway,Not Suicide post
i got twitter my ipod touch yaaaaaay,Not Suicide post
orange tv #iphone app really disappointing low quality video streams obviously nothing interesting tv,Not Suicide post
rt camerondallas i donât love anything i canât get hurt,Not Suicide post
time fly orddcaordclt hrs cltordiadmco hrs mcoord hm time date night,Not Suicide post
says watched mall cop,Not Suicide post
monster great,Not Suicide post
wahmbizbuilder absolutely due melb time soon,Not Suicide post
iâm fucking lunatic i get angry itâs terrible i need work bad i end somethiâ,Potential Suicide post 
declanshalvey yea youre right shite,Not Suicide post
trying find something formal wear casual closet jeans popculture shirt good enough,Not Suicide post
samjohnson im ya,Not Suicide post
rt capcomfighters congratulations tokidoki taking asia regional finals title thanks yoshionochin giving,Not Suicide post
beijingboyce quoticequot,Not Suicide post
i dont want start feeling neglected,Not Suicide post
pinkfrangipani take me river sydenee,Not Suicide post
idazz even i cant run far yet,Not Suicide post
one perks working nyse ger,Not Suicide post
going back straighten my hair download nds roms first though,Not Suicide post
fake news went ballistic get ready thought fake news bad deep fakesâ,Potential Suicide post 
hzilionis thing remember obsessing sucks energy could put new story i say kick worry curb,Not Suicide post
tommcfly hide well everyone,Not Suicide post
slxmdunkunited kingdompamaj hapens i dont want anymore,Potential Suicide post 
gcoakleynd i dont want anymore em,Potential Suicide post 
damn i fucken hate shopping bc i feel sooooo broke like i canât even enjoy myself anymore,Potential Suicide post 
i great wonderful i worth except enough anyones first choice everyone tells me wonderful i enough loved like i love others i put aside everything people i crazy hold job nothing really loved i entitled i dont even right die my terms i asshole angry upset i people treat me like shit cant bothered wheni amhurt,Potential Suicide post 
i destroy my opportunities i going kill myself accident i get worse mean aâ,Potential Suicide post 
monicalewinsky vanityfair cares happened past nothing apologize hillarâ,Potential Suicide post 
misspolyamory maybe hugs i need,Not Suicide post
guess posted universal causality me,Not Suicide post
god fuck im dumb fucking idiot called personal instead sick guess whos getting third reprimand sâ,Potential Suicide post 
wiggly i i thank example code doesnt many bugs make easy me automate,Not Suicide post
thats classrooms working right,Not Suicide post
like i want shove knife my fucking stomach i hate myself god damn much,Potential Suicide post 
miamiadc good morning,Not Suicide post
i hate iâm okay i hate i fucking want kill myself donât bc i donât want leave my family stâ,Potential Suicide post 
sannymoorbyis horrible me i want commit #suicide i dont want anymore,Potential Suicide post 
auntiecelene i think im going try making newspaper thingies year got lot herbs grow,Not Suicide post
train shopping yay,Not Suicide post
gooooooood morning,Not Suicide post
paper works eve birthnight,Not Suicide post
overwhelmed enjoy,Not Suicide post
helloitsliam todd loves steps,Not Suicide post
aang i love i love ðâï,Not Suicide post
chillin lucybeautiful day today,Not Suicide post
maufeitioblog obviously,Not Suicide post
i wanna go sleep forever never wake im tired,Potential Suicide post 
danielhilton i know thats real my bf fell asleep amp im editing video xo,Not Suicide post
cant find nice words tel domain haha,Not Suicide post
emwinward i hate myself my damn autocorrect ð,Potential Suicide post 
dundrum martin,Not Suicide post
lucyinglis i unexpectedly put one my rabbits last week hurts like hell bad enough whenâ,Potential Suicide post 
got shower nothing says wake like body lotion hair,Not Suicide post
samotage channel time prog politicians formal training bathe simplexity la cnutroy,Not Suicide post
im gonna lok argos catalouge summ bday pressies look online,Not Suicide post
reading interesting articles extranet surprisingly good stuff,Not Suicide post
suitelifeofkell i stole shirt sold ebay,Not Suicide post
missxmarisa oh sounds like top movie really i dont know hah,Not Suicide post
morninggggg i my alarm went two hours go,Not Suicide post
schofe,Not Suicide post
i like thesis chapter go like oso like already filled my lazy ass extra daâ,Potential Suicide post 
watching arthur cos im way cool,Not Suicide post
rt bitslothiness nickmon please im tired everything discordapp my coffee maker popup telâ,Potential Suicide post 
juliankimmings my commiserations bad i heard,Not Suicide post
somebody please kill me my life gets stupid,Potential Suicide post 
jaredleto hey ho jared im vegan toohope youre right,Not Suicide post
eating kebab sun sounds like bad song title ha one,Not Suicide post
thanks unltdworld danlehner enternshipscom plugs,Not Suicide post
ive lost lot interest nascar dont think i tweet much anymore still want friends something follow my less popular twitter page gutcheez friends,Potential Suicide post 
wow i want die somebody fucking kill me please,Potential Suicide post 
zergmoney tweet dreams,Not Suicide post
playing clarinet makes me happy,Not Suicide post
found st thomasand waiting,Not Suicide post
rt mredtrain #neverforget keeps amp family safe amp free ðºð usmc usarmy usnavy usaf uscg,Not Suicide post
rt mileycyrus completely devestated fires affecting my community i one lucky ones my animals love my life madeâ,Not Suicide post
busy dayupdate tonight,Not Suicide post
michael jackson sad existance man ive already met alanis prince my last hope keep faith,Not Suicide post
starrybluesky hello back ya thank,Not Suicide post
ruby ruby ruby ruby taken delivery my new beginning ruby book whoop whoop another languag,Not Suicide post
juliejoyce sounds pretty fine me pleased hear creepy cup tea,Not Suicide post
xsophiejane malese answered my question twitter check outt malese twitter youu,Not Suicide post
wheat thins diet dr pepper breakfast championsor people wakeup late grab first thing find,Not Suicide post
tired,Not Suicide post
rt shorouqad choose job love never work day life happy future amazing students,Not Suicide post
brendonuriesays trohman hope guys safe flight,Not Suicide post
i think iâm going redecorate my living room iâm tired moving stuff around,Potential Suicide post 
chinewinelover,Not Suicide post
mntntopfuck shit i want dead i dont anymore,Potential Suicide post 
i reading group called dignitas switzerland provide assisted suicide via drugs member become member administers anyone insight americans travelling purpose apparently helped many british german citizens pass peacefully,Potential Suicide post 
ohvemberportland orevery kid tantrum today i dont want i dont want hear anymore crying i want go home pet my dog,Potential Suicide post 
horrorshock oh puns bad bad puns i think ill quite like new clear sounds though x,Not Suicide post
npr things literally everyday occurrence my family ever since my parents came country itâ,Potential Suicide post 
reminder sr release date set easter sunday,Not Suicide post
rt amnotjake im fucking tired living im smart im athletic im attractive im talented i fucking tâ,Potential Suicide post 
work slave i really feel like my purpose life make higher man money parents forcing me college i much my plate i owe lot money i know easy way i really tired issues top dealing tensions america well i want rest,Potential Suicide post 
vampqueen course,Not Suicide post
#freekaavan another year passed i still alone sad suffering i ever live dignity willâ,Potential Suicide post 
crystalweb sallyormond briar copywriting awesome combination,Not Suicide post
i everyone knows i want kill myself nobody really acknowledges though even i would inevitable nobody would give shit true i amfucking sick like years suicidal thoughts time theyve become disgustingly close becoming reality i fucking scared i want die know maybe i,Potential Suicide post 
arreeyy mad watim wit u coz maine bhi intro hi start kiya,Not Suicide post
my life purpose i broke lonely miserable i my life sack shit my family legitimately hate me i poor i friends dont hear unless i get touch first i single almost decade generally i ok single depression grinds my world halt doctors dont help me nobody around me seems understand gone years i tired cant i want lay die quietly i want life disappear,Potential Suicide post 
phillies game becca tonight,Not Suicide post
rqwoodward lol i love,Not Suicide post
rt delaneykazee iâm tired living country become taking sides bitch love respect otherâ,Potential Suicide post 
valvert nice day,Not Suicide post
mileycyrus i love jesus im getting ready school lt,Not Suicide post
update my phone real quick my car whole god damn time i really fucking hate myself,Potential Suicide post 
rt joonswrlds jimin happy i love #jimin btstwt,Not Suicide post
take time think date i want take tomorrow look engagement rings,Not Suicide post
bit happier found chanel sunglasses,Not Suicide post
adam sandler became shit predicted my future mental state,Potential Suicide post 
rt skupor incredibly sad poignant story suicide,Potential Suicide post 
i got my box ill pick tomorrow priscilla gilmoregirlc,Not Suicide post
rt maddierawrk my brother died depression also frequently exercised supportive friendsfamily successful school amp iâ,Not Suicide post
rt mkoirala keep going forward matter #motivation #success #life,Not Suicide post
my life way good me feel angry miserable time,Potential Suicide post 
i dont wanna fucking anymore,Potential Suicide post 
angelamaria my italian basic,Not Suicide post
haircut feeling fresh clean,Not Suicide post
datagov comes life even form jpeg image great things start like,Not Suicide post
unfollow me gonna talk aboutfor therestof my miserable life,Potential Suicide post 
nicolaisbombay i thought meant my destiny cause song hahaha yes theyre coming,Not Suicide post
tired living childish people,Potential Suicide post 
my dog end passing my life seriously tumbling downwards spiral thatâs my life shes my life,Potential Suicide post 
watched chris moyles quiz night last night alan carr funny hes best,Not Suicide post
rustyrockets big piece rainbowshine big shine bright i see sparkle friends forever,Not Suicide post
danielledeleasa hair cut looks really good,Not Suicide post
end day iâm point my life i truly give fuck i give fuck youâ,Potential Suicide post 
feel lucky work shining young stars #healthcare honored forbes #under today â,Not Suicide post
dink losing guys huge gotta deal time call weber pp amp price take nyquil #habs,Not Suicide post
i hate i want selfpitying my mind refuses let me like damn i wanna feel sorry myself foâ,Potential Suicide post 
love way skype fades music back call ends im easily impressed,Not Suicide post
rt virendersehwag congratulations india beating pakistan #asiacup #indvpak thank advance diwali gift thehock,Not Suicide post
nicharry tell simon quotwho used tuks fmquot says hi,Not Suicide post
richelle damn make proper website one day help tiff,Not Suicide post
least raining today,Not Suicide post
my morning started bad i want go home sleep forever,Potential Suicide post 
i think my lack saying anything pretty stupid i met harry i acting cool andâ,Potential Suicide post 
taking son braces taken big day teen age boys life,Not Suicide post
mattstevensloop thanks matt im glad like algorithmic music gigs planned far though,Not Suicide post
like man i end spending rest my days aint i feel like im going hate my life,Potential Suicide post 
i hate my parents much i want kill myself spite especially my dad i almost want children i want my dad become grandfather like didnt want me girlfriend friends growing i dont think i would even goto funeral died i hate bottom my heart me order chain my mom hated ignored yelled me since i little boy i hate forever hatred killing me,Potential Suicide post 
rolyatoj teething problems my new house amp i friends,Not Suicide post
asahi giant scared please donât eat my ass spirits,Potential Suicide post 
i miserable ive never miserable my life simply baby,Potential Suicide post 
williamsledd love videos william new twitter x,Not Suicide post
thesouthernstar ochie kmaren nervous ya pas tu kliatan tau pas aku dtg aku ngeliat ochie lg maenin tisu sampe tisuy lecek,Not Suicide post
cool ive got followers people interested,Not Suicide post
rt elonmusk congratulations spacex team thanks nasa much appreciated,Not Suicide post
tired merely existing want get living,Potential Suicide post 
i wanna kill myself im fucking done,Potential Suicide post 
christinamendez my list short mean my god huge lol,Not Suicide post
haha flight conchords bloody hilarious last night chur chur,Not Suicide post
ryankingry picture cus damn looking good ðð,Potential Suicide post 
overspill well link me anyway,Not Suicide post
